SMILES,y
c1(cccn2)c2cc(c3cc(F)cc(N4C[C@@H](C)N[C@H](C)C4)c3)[nH]1,7.402304814
Cc(c1C)[nH]c(c2cnc(C)c(OCc3c(Cl)cccc3)c2)n1,6.869666232
Cc(c(nc1c(c2)cc(nn2)OCc3c(cccc3)Cl)C)[nH]1,5.542118103
Cc(ncc([nH]1)c2cc1c3cc(cc(c3)OC4CCN(CC4)C)OCc5ccccc5Cl)c2,7.008773924
[nH]1c(cc2c1cccn2)c3cc(OC(F)(F)F)cc(N4CC5(CNC5)CC4)c3,7.258848401
Cc(cc([nH]1)c2cc1c3cc(cc(c3)OC4CCNCC4)OCc5ccccc5Cl)nc2,6.665546249
Fc(c1NC(C(CCN2c(cc3c([nH]c(c4C)C)n4)ccc3)C2)=O)cccc1,6.356547324
n1c([nH]c(c1C)C)c2cc(c3cc(CN(C)C4)c4cc3)ccc2,6.401209493
c1ccc(cc1c([nH]c(c2C)C)n2)N3CC(OCc4c(cccc4)F)CC3,6.59345982
Cc1c([nH]c2c1c(c3nc(c([nH]3)C)C)ccc2)c4c(cccc4)Cl,4.998266287
N#Cc(ncc1Oc2cc(cc(c2)c3[nH]c(C)c(n3)C)Br)cc1,5.54668166
c1nc(cc(c1[nH]2)cc2)c3cc(N4CC5(CCNCC5)CC4)cc(OC(F)(F)F)c3,6.420216403
C1CNCCC1Oc2cc(OCc3c(Cl)cccc3)cc(c4nc(C)c(C)[nH]4)c2,6.785156152
c1(cccn2)c2cc(c3cc(F)cc(N(CC4NC(=O)c(c(F)ccc5)c5)CC4)c3)[nH]1,5.987162775
c1(c(Cl)ccn2)c2cc(c3cc(F)cc(N4CC5(CN(C)C5)CC4)c3)[nH]1,6.931814138
O=C(Nc1ncccc1c2nc(co2)C(=O)OC)c3ccccc3,4.602059991
n1cc(cc(c1)c2nc(cncc3)c3[nH]2)NCC4CCN(C)CC4,4.654234307
O=C(Nc1ncccc1c2nc(co2)C(=O)O)c3ccccc3,4.602059991
c1c(cc(cc1Cl)OCc2ccccc2Cl)c3nc(C)c(C)[nH]3,6.8569852
Cc1c(nc(c2cc3c(cc2)OCC(c4c(cccc4)Cl)N3)[nH]1)C,6.000434512
c1(F)ccccc1C(NC(CCN2c(c3)cc(cc3)c4[nH]c(c(n4)C)C)CC2)=O,5.728158393
[nH]1c(cc2c1cccc2)c3nc(OCc4c(Cl)cccc4)cc(OC5CN(C)C5)c3,6.2915791
CC(NCCN1c(cc2c([nH]c3c4nccc3)c4)cc(c2)OC(F)(F)F)(C1)C,7.679853714
O=C(c1cccnc1N)NC(CO)C(=O)OC,4.602059991
[nH]1c(cc2c1cccn2)c3cc(C(F)(F)F)cc(N4CCC5(CCOCC5)C4)c3,6.76700389
N#Cc(ncc1Oc2cc(cc(c2)c3[nH]c(c(n3)C)C)N4Cc(c5C4)cccc5)cc1,7.432973634
c1(cccn2)c2cc(c3cc(OC(F)(F)F)cc(N4CCNC(C(F)(F)F)C4)c3)[nH]1,6.292429824
O=C(CCC1(CN2c(cc3c([nH]c4c5nccc4)c5)cc(c3)OC(F)(F)F)CC2)CC1,6.581698709
Cc1c([nH]c(n1)c2cccc(c2)NCCc3ccccc3)C,5.920818754
Cc1c([nH]c(n1)c2ccc3c(c2)oc(c4c(cccc4)Cl)n3)C,6.274088368
C1CNCC(CN2c(cc3c([nH]c(c45)ccnc4)n5)ccc3)C1C2,4.949620244
O=C(c1ccccc1)Nc2ccc(cc2)C(=O)NC(CO)C(=O)OC,4.602059991
c1ccc(NCc2ccccc2Cl)cc1c3[nH]c(C(F)(F)F)c(C)n3,5.924453039
Nc1ncccc1c2nc(co2)C(=O)OC,4.602059991
Cc1c([nH]c2c1ccc(c3nc(c([nH]3)C)C)c2)c4c(cccc4)Cl,6.230622674
C1NCC(C12)CN(c3cc(c4[nH]c(c5n4)ccnc5)ccc3)C2,4.935542011
n1c([nH]c(c1C)C)c2cc(N3CCC(Oc4c(F)cccc4)C3)ccc2,6.525783736
CN(CCC1(CN2c(cc3c([nH]c4c5nccc4)c5)ccc3)CC2)CC1,7.1123827
C1CNCCC1(CCN2c(cccc3c(cc(ccc4)c5c4)[nH]5)c3)C2,5.730487056
Cc(c([nH]c1c(c2)cc(cc2c3cnccc3OC)N4Cc(c5C4)cccc5)C)n1,7.454692884
Cc1c(nc(c2c3c(ccc2)oc(c4c(cccc4)Cl)n3)[nH]1)C,5.178486472
[nH]1c(cc2c1cccn2)c3cccc(N4CCC5(CCN(C)CC5)C4)n3,6.882728704
c1(cccn2)c2cc(c3cccc(N4C[C@@H](C)N[C@H](C)C4)c3)[nH]1,6.886056648
n1c([nH]c(c1C)C)c2cc(OC(F)(F)F)cc(N3CCC4(CCNCC4)C3)c2,6.835647144
CN(CCC1Oc(cc(c2)C(=O)Nc3c(cncc3)N)cc2)CC1,4.821023053
c1(CCNC2)c2nc(c3cc(NCc4c(Cl)cccc4)ccc3)[nH]1,5.078833949
Cc1nc(c2cccc(N3CCN(C)CC3)c2)[nH]c1C,5.315154638
n1c([nH]c(c1C)C)c2cc(N3CCC(c4c(Cl)cccc4)C3)ccc2,6.621602099
Cc(ncc([nH]1)c2cc1c3cc(cc(c3)OC4CCNCC4)OCc5ccccc5Cl)c2,6.801342913
c1(cccn2)c2cc(c3nccc(N4C[C@@H](C)N[C@H](C)C4)c3)[nH]1,6.493494968
C1N(Cc2cc(c3nc(C)c(C)[nH]3)ccc2)Cc4c1cccc4Cl,5.860120914
c1(nccn2)c2cc(c3cc(F)cc(C4CCN(C)CC4)c3)[nH]1,5.261219442
